data,produto,preco,promocao,vendas
2023-01-01,Chocolate,40.09,1,85
2023-01-01,Biscoito,20.02,0,67
2023-01-01,Leite,7.54,0,72
2023-01-01,Refrigerante,18.69,0,37
2023-01-01,Pão,18.11,0,52
2023-01-01,Arroz,25.52,0,64
2023-01-01,Feijão,28.14,0,81
2023-01-01,Café,7.93,0,81
2023-01-01,Açúcar,22.34,1,71
2023-01-01,Manteiga,12.8,0,74
2023-01-02,Chocolate,34.81,0,37
2023-01-02,Biscoito,6.41,0,51
2023-01-02,Leite,47.28,0,38
2023-01-02,Refrigerante,30.67,0,71
2023-01-02,Pão,19.64,0,71
2023-01-02,Arroz,48.44,0,68
2023-01-02,Feijão,11.34,0,81
2023-01-02,Café,32.27,0,58
2023-01-02,Açúcar,10.21,0,62
2023-01-02,Manteiga,21.69,0,57
2023-01-03,Chocolate,31.61,0,45
2023-01-03,Biscoito,37.1,0,45
2023-01-03,Leite,15.62,0,16
2023-01-03,Refrigerante,6.41,0,80
2023-01-03,Pão,30.35,0,54
2023-01-03,Arroz,39.0,0,60
2023-01-03,Feijão,18.04,1,78
2023-01-03,Café,14.83,0,30
2023-01-03,Açúcar,29.27,0,35
2023-01-03,Manteiga,5.02,0,74
2023-01-04,Chocolate,5.31,0,18
2023-01-04,Biscoito,17.12,0,57
2023-01-04,Leite,14.84,1,68
2023-01-04,Refrigerante,16.11,0,74
2023-01-04,Pão,18.54,0,58
2023-01-04,Arroz,20.53,0,85
2023-01-04,Feijão,11.52,0,21
2023-01-04,Café,8.64,0,50
2023-01-04,Açúcar,37.77,0,82
2023-01-04,Manteiga,41.74,0,17
2023-01-05,Chocolate,19.44,0,43
2023-01-05,Biscoito,41.43,0,42
2023-01-05,Leite,12.85,0,34
2023-01-05,Refrigerante,35.41,0,44
2023-01-05,Pão,46.61,0,74
2023-01-05,Arroz,49.2,0,81
2023-01-05,Feijão,15.88,0,72
2023-01-05,Café,36.52,0,31
2023-01-05,Açúcar,44.92,0,38
2023-01-05,Manteiga,45.43,1,54
2023-01-06,Chocolate,21.75,0,34
2023-01-06,Biscoito,34.34,0,15
2023-01-06,Leite,5.81,0,53
2023-01-06,Refrigerante,43.22,0,74
2023-01-06,Pão,29.41,0,47
2023-01-06,Arroz,48.79,0,41
2023-01-06,Feijão,45.77,0,54
2023-01-06,Café,27.16,0,47
2023-01-06,Açúcar,27.46,0,31
2023-01-06,Manteiga,46.17,1,65
2023-01-07,Chocolate,46.77,0,72
2023-01-07,Biscoito,18.25,0,69
2023-01-07,Leite,26.84,0,44
2023-01-07,Refrigerante,9.37,1,106
2023-01-07,Pão,16.44,1,80
2023-01-07,Arroz,36.9,0,58
2023-01-07,Feijão,23.89,0,78
2023-01-07,Café,33.26,0,85
2023-01-07,Açúcar,22.86,0,44
2023-01-07,Manteiga,19.77,0,59
2023-01-08,Chocolate,31.59,1,129
2023-01-08,Biscoito,39.65,0,93
2023-01-08,Leite,8.84,0,79
2023-01-08,Refrigerante,37.67,0,69
2023-01-08,Pão,19.53,0,34
2023-01-08,Arroz,6.14,0,65
2023-01-08,Feijão,36.32,0,83
2023-01-08,Café,29.72,0,37
2023-01-08,Açúcar,17.6,0,90
2023-01-08,Manteiga,21.02,0,86
2023-01-09,Chocolate,20.38,0,59
2023-01-09,Biscoito,24.52,0,57
2023-01-09,Leite,47.71,0,40
2023-01-09,Refrigerante,27.64,0,31
2023-01-09,Pão,35.78,0,22
2023-01-09,Arroz,31.36,0,21
2023-01-09,Feijão,35.47,0,40
2023-01-09,Café,33.17,0,71
2023-01-09,Açúcar,14.3,1,39
